index,Club,National_id,Club_Position,Club_Kit,Club_Joining
0,Real Madrid,a6,LW,7,07/01/2009
1,FC Barcelona,a5,RW,10,07/01/2004
2,FC Barcelona,a3,LW,11,07/01/2013
3,FC Barcelona,a11,ST,9,07/11/2014
4,FC Bayern,a2,GK,1,07/01/2011
5,Manchester Utd,a1,GK,1,07/01/2011
6,FC Bayern,a12,ST,9,07/01/2014
7,Real Madrid,a24,RW,11,09/02/2013
8,Manchester Utd,a21,ST,9,07/01/2016
9,Chelsea,a4,GK,13,07/26/2011
10,FC Bayern,a2,Sub,17,07/14/2011
11,Chelsea,a4,LW,10,07/01/2012
12,Real Madrid,a20,RCM,19,08/01/2012
13,Arsenal,a2,CAM,11,09/02/2013
14,Juventus,a5,ST,9,07/26/2016
15,PSG,a3,LCB,2,07/01/2012
16,Real Madrid,a1,LCB,4,08/01/2005
17,Manchester City,a5,ST,10,07/28/2011
18,Manchester Utd,a7,LCM,6,08/09/2016
19,Atltico Madrid,a7,RS,7,07/29/2014
20,Manchester City,a4,RCM,17,08/30/2015
21,Bor. Dortmund,a2,LW,11,07/01/2012
22,Arsenal,a13,ST,7,07/10/2014
23,Real Madrid,a2,LCM,8,07/17/2014
24,Atltico Madrid,a11,LCB,2,08/01/2010
25,FC Bayern,a2,LCB,5,07/01/2016
26,Spurs,a7,GK,1,08/01/2012
27,Juventus,a8,LCB,3,07/01/2005
28,FC Bayern,a2,RB,21,11/01/2002
29,Real Madrid,a6,RCB,3,07/01/2007
30,Arsenal,a28,GK,33,06/29/2015
31,Juventus,a8,GK,1,07/01/2001
32,FC Barcelona,a1,LM,8,07/01/2002
33,Atltico Madrid,a31,GK,13,07/17/2014
34,Real Madrid,a14,CAM,10,07/22/2014
36,Juventus,a8,RCB,19,07/01/2010
37,FC Bayern,a13,LDM,23,07/28/2015
38,FC Barcelona,a20,CAM,4,06/24/2014
39,Manchester City,a1,LCM,21,07/14/2010
40,Inter,a31,GK,1,07/01/2012
41,FC Barcelona,a1,RCB,3,07/01/2008
42,FC Bayern,a10,RM,10,08/28/2009
43,Juventus,a5,CAM,21,07/01/2015
44,PSG,a8,RCM,6,07/01/2012
45,FC Bayern,a18,LB,27,02/10/2010
47,Bayer 04,a2,GK,1,01/01/2012
48,FC Bayern,a2,CAM,25,08/10/2008
49,FC Barcelona,a1,CDM,5,09/01/2008
50,FC Bayern,a1,RDM,6,07/14/2013
51,FC Barcelona,a1,LCB,18,07/01/2012
52,Liverpool,a3,LW,10,01/30/2013
53,PSG,a5,RW,11,08/06/2015
54,Chelsea,a1,ST,19,07/15/2014
55,PSG,a11,ST,9,07/16/2013
56,Roma,a4,LF,4,01/07/2014
57,Real Madrid,a3,LB,12,01/01/2007
58,Juventus,a8,Sub,8,06/01/2007
59,Inter,a3,RCB,25,07/03/2015
60,Real Madrid,a7,ST,9,07/01/2009
61,Chelsea,a1,Sub,4,07/01/2014
62,FC Bayern,a7,Sub,7,07/01/2007
63,Arsenal,a1,Sub,19,08/07/2012
64,Juventus,a8,Sub,15,01/01/2011
65,Spurs,a9,RS,10,07/01/2010
66,Olym. Lyonnais,a7,ST,10,07/01/2009
67,Real Madrid,a50,GK,1,08/04/2014
68,Everton,a4,ST,10,07/30/2014
69,Spurs,a17,CAM,23,08/30/2013
70,Manchester City,a2,Sub,8,07/01/2016
71,Spurs,a4,CB,4,07/08/2015
72,Chelsea,a3,Sub,22,08/28/2013
74,Manchester Utd,a1,Sub,8,01/25/2014
75,FC Bayern,a1,RCB,8,08/29/2012
76,Olym. Marseille,a7,LW,11,01/29/2017
77,Napoli,a4,ST,14,07/01/2013
78,Bor. Dortmund,a23,CB,25,07/01/2013
79,Napoli,a52,LCM,17,07/01/2007
80,PSG,a7,LCM,14,07/01/2011
81,AS Saint-tienne,a7,GK,16,07/11/2011
82,Arsenal,a7,LCB,6,07/07/2010
83,Atltico Madrid,a3,LB,3,07/29/2015
84,Manchester City,a4,Sub,4,08/22/2008
85,Athletic Bilbao,a7,LCB,4,10/01/2012
86,Atltico Madrid,a4,LM,10,07/10/2015
87,Real Madrid,a1,RB,2,07/05/2013
89,Real Madrid,a7,Sub,5,07/01/2011
90,Inter,a5,ST,9,07/09/2013
91,Napoli,a8,LW,24,07/01/2010
92,Real Madrid,a1,Sub,22,07/03/2013
93,Atltico Madrid,a1,RM,6,01/01/2011
94,Roma,a23,RCB,44,08/26/2014
96,Manchester City,a5,LCB,30,08/20/2015
97,Arsenal,a2,RCB,20,08/30/2016
99,Juventus,a3,LB,12,08/21/2015
100,AS Monaco,a12,RCB,25,07/06/2016
101,FC Bayern,a3,LM,11,07/01/2015
102,Roma,a10,LCM,6,07/16/2013
103,Atltico Madrid,a5,Sub,23,07/01/2016
104,Villarreal CF,a1,LCM,21,07/01/2005
106,Chelsea,a3,CB,30,08/31/2016
107,Juventus,a2,LDM,6,07/01/2015
108,FC Schalke 04,a2,RCB,4,07/01/2007
109,FC Schalke 04,a2,GK,1,07/01/2011
110,Villarreal CF,a1,Sub,1,06/30/2014
111,Inter,a5,CAM,19,07/06/2016
113,Crystal Palace,a7,Sub,30,07/01/2016
114,Juventus,a3,Sub,23,07/01/2016
115,FC Barcelona,a16,Sub,7,07/06/2015
116,FC Barcelona,a5,Sub,14,08/01/2010
117,Athletic Bilbao,a1,ST,20,07/01/2012
120,Atltico Madrid,a11,Sub,24,07/01/2013
121,Chelsea,a7,RCM,7,07/16/2016
122,Real Sociedad,a5,GK,1,01/01/2017
123,Inter,a6,Sub,6,08/28/2016
124,FC Barcelona,a6,Sub,21,07/21/2016
125,PSG,a3,RCB,5,07/19/2013
126,Milan,a14,ST,70,07/10/2015
127,Sporting CP,a6,CDM,14,01/01/2011
128,Bayer 04,a2,RM,38,07/01/2011
129,Manchester City,a9,RW,7,07/14/2015
130,PSG,a2,LW,23,01/03/2017
131,Liverpool,a3,ST,11,07/06/2015
132,Manchester Utd,a5,Sub,5,08/20/2014
134,FC Porto,a6,CDM,22,07/02/2015
135,1. FC Kln,a2,GK,1,07/01/2011
136,Real Madrid,a3,Sub,14,07/11/2013
137,Sevilla FC,a1,LM,20,07/03/2013
138,Olym. Lyonnais,a6,GK,1,06/11/2010
139,Genoa,a8,Res,1,01/01/2010
140,Liverpool,a39,RCB,32,07/01/2016
141,Juventus,a14,RM,7,02/02/2015
142,Celta Vigo,a1,RW,10,07/01/2015
143,FC Barcelona,a2,GK,1,07/01/2014
144,Bor. Dortmund,a2,Sub,10,08/01/2016
145,Manchester Utd,a1,RCM,21,06/26/2014
146,PSG,a5,Sub,10,08/01/2011
147,Manchester Utd,a9,LCB,12,07/01/2010
148,Chelsea,a1,RW,11,08/20/2015
149,Milan,a8,Res,5,09/01/2014
150,Bor. Dortmund,a18,GK,38,07/01/2015
151,Free Agents,a3,Res,99,01/01/2017
152,Sevilla FC,a7,LDM,15,07/09/2015
153,Arsenal,a24,Sub,8,06/13/2008
154,Villarreal CF,a5,RCB,5,07/01/2010
155,Bayer 04,a16,RCB,21,07/01/2011
156,Napoli,a1,RW,7,07/11/2013
157,Sporting CP,a6,CM,23,01/01/2007
158,Chelsea,a1,RCB,28,08/24/2012
159,Toronto FC,a8,LS,10,02/03/2015
160,1. FC Kln,a7,LS,27,07/01/2015
162,Liverpool,a9,RCM,20,07/01/2014
163,Arsenal,a7,Sub,12,06/26/2012
164,Sporting CP,a6,GK,1,06/01/2006
165,Bor. M'gladbach,a18,GK,1,07/01/2014
166,SL Benfica,a3,LS,10,09/12/2014
167,Atltico Madrid,a7,LS,21,07/30/2016
168,Manchester City,a13,Sub,1,08/25/2016
169,Bor. Dortmund,a12,RCB,26,07/01/2010
170,Spurs,a4,LCB,5,07/01/2012
172,FC Schalke 04,a3,Sub,29,07/01/2016
173,Liverpool,a9,Sub,15,01/02/2013
174,West Ham,a6,RCB,23,01/20/2017
175,Valencia CF,a5,RCB,24,08/31/2016
176,Sevilla FC,a7,CAM,10,08/24/2011
177,Chelsea,a9,LCB,24,01/16/2012
178,Everton,a24,LCB,5,08/10/2016
179,Everton,a9,LB,3,08/07/2007
180,Leicester City,a17,GK,1,06/01/2011
181,Fiorentina,a1,RF,20,08/01/2012
182,PSG,a7,Sub,21,07/01/2016
183,Torino,a9,GK,21,05/24/2006
184,Atltico Madrid,a1,RB,20,01/01/2011
185,Galatasaray,a10,CAM,10,01/22/2013
186,Valencia CF,a6,LW,17,07/05/2016
187,Juventus,a18,RB,26,07/01/2011
188,Manchester Utd,a9,Sub,10,08/31/2004
189,Roma,a8,RCM,16,07/01/2002
190,Napoli,a1,GK,25,07/01/2015
191,Beikta,a6,RM,7,07/22/2015
192,Real Madrid,a1,Sub,20,01/22/2015
193,AS Monaco,a6,RM,10,01/20/2015
195,Bayer 04,a2,Sub,4,07/16/2015
196,Manchester Utd,a7,LW,11,09/01/2015
197,Spurs,a9,LS,20,02/02/2015
198,SL Benfica,a3,GK,1,07/01/2015
199,Roma,a34,RF,11,01/26/2014
201,Real Madrid,a1,Sub,17,07/02/2015
202,Sevilla FC,a8,Sub,22,07/16/2016
203,Villarreal CF,a1,RCM,14,07/01/2011
204,FC Barcelona,a7,CB,23,07/12/2016
206,UD Las Palmas,a1,CDM,15,07/08/2014
207,Liverpool,a2,Sub,1,07/01/2016
208,Roma,a8,Sub,24,07/01/2010
209,Southampton,a10,LCB,17,09/01/2015
210,Stoke City,a9,Sub,1,01/31/2013
211,Real Madrid,a1,Sub,21,07/01/2016
212,PSG,a3,Sub,7,01/01/2013
214,Sassuolo,a8,RCB,15,07/08/2013
215,Manchester City,a1,Sub,9,07/01/2016
216,Arsenal,a18,Sub,29,07/01/2016
217,Lazio,a10,RCB,3,07/30/2014
218,UD Las Palmas,a1,LCM,21,07/17/2015
219,SL Benfica,a6,CM,21,07/30/2013
221,PSG,a12,Sub,4,07/03/2016
222,Bayer 04,a31,LDM,44,08/28/2015
224,Inter,a13,Sub,17,08/16/2014
226,Villarreal CF,a1,LCB,6,07/01/2015
227,VfL Wolfsburg,a18,LCB,34,01/13/2012
228,Stoke City,a18,RM,22,08/11/2015
229,Lazio,a8,ST,17,07/27/2016
230,Liverpool,a9,RB,2,07/01/2015
231,Sevilla FC,a1,Sub,8,08/20/2013
232,Bournemouth,a9,Sub,32,01/05/2009
234,PSG,a2,GK,1,07/08/2015
235,Shakhtar Donetsk,a3,LM,28,01/11/2013
236,Spurs,a9,RWB,2,07/01/2009
237,Shakhtar Donetsk,a3,RM,11,07/04/2014
238,VfL Wolfsburg,a3,LDM,22,08/16/2013
239,Zenit,a3,RCM,7,07/26/2016
242,Stoke City,a18,LM,10,09/02/2013
243,Liverpool,a9,CDM,14,06/09/2011
